merchant_name,mcc_code,amount,transaction_date,description,card_type
스타벅스 강남점,5814,15000,2026-02-15,팀 회의 커피,corporate
교보문고 광화문점,5942,35000,2026-02-14,업무 참고서적 구매,corporate
GS칼텍스 서초주유소,5541,80000,2026-02-13,업무용 차량 주유,corporate
쿠팡 온라인,5411,25000,2026-02-12,사무용품 구매,corporate
대한항공,3000,450000,2026-02-11,출장 항공권,corporate
롯데호텔 서울,7011,180000,2026-02-11,출장 숙박,corporate
이마트 성수점,5411,45000,2026-02-10,회의실 다과 구매,corporate
SKT 통신요금,4814,55000,2026-02-10,법인 휴대폰 요금,corporate
삼성SDS,7372,3000000,2026-02-09,IT 외주 용역비,corporate
네이버클라우드,7372,500000,2026-02-09,클라우드 서버 비용,corporate
CJ대한통운,4215,12000,2026-02-08,택배 발송비,corporate
서울시청,9311,150000,2026-02-07,사업자 면허세 납부,corporate
우리은행,6012,5000,2026-02-07,이체 수수료,corporate
강남세브란스,8011,30000,2026-02-06,직원 건강검진,corporate
피자헛 역삼점,5812,120000,2026-02-05,팀 회식,corporate
다이소 강남점,5331,8000,2026-02-04,사무 소모품,corporate
한국경제신문,4121,15000,2026-02-03,신문 구독료,corporate
리모트미팅,7372,30000,2026-02-02,화상회의 솔루션 구독,corporate
현대오일뱅크,5541,65000,2026-02-01,업무용 차량 주유,corporate
카카오택시,4121,25000,2026-01-31,거래처 방문 택시비,corporate
